S1.1,S1.2,S1.3,S1.4,S2.1,S2.2,S2.3,S2.4,S3.1,S3.2,S3.3,S3.4,S4.1,S4.2,S4.3,S4.4,S5.1,S5.2,S5.3,S5.4,S6.1,S6.2,S6.3,S6.4,S7.1,S7.2,S7.3,S7.4,Weights,VAR,b0,b1,b2,b3,b4,b5,q,p,v
g1.1,-0,-1008654,-1260874,-905165,-1239757,-1397247,-1636981,-1282394,-1344232,-1522330,-1751844,-1385515,-1531907,-1635756,-1899185,-1517360,-1427140,-1555978,-1796800,-1492598,-1372026,-1526016,-1717070,-1377529,-1404394,-1533952,-1771679,-1432939,12.27,0.1,-4224020,-1667495,-1528955,-1418833,-1330025,212825,70942,212825,468215
g1.2,-1757134,-551661,-711361,-551661,-551661,-625566,-785266,-390966,-610011,-683916,-843616,-449316,-775596,-849501,-1009201,-614901,-787239,-861144,-1020844,-626544,-811447,-885352,-1045052,-650752,-847315,-921220,-1080920,-686620,10.64,0.1,-3749830,-928689,-837382,-680856,-602593,-272185,39260,117781,259118
g1.3,0,952088,991697,917604,955885,996168,1035489,995521,957187,1031776,1070386,1030933,1070213,1110816,1149305,1109597,1124178,1131706,1204438,1131267,1030582,1071164,1109732,1070150,995961,1070209,1109007,1035825,4.09,0.1,-304916,963728,1031134,1071156,1111178,1356896,50819,152458,335408
g1.4,-82701,-41346,-36119,-42268,-40971,-28230,-23290,-28762,-41692,-28197,-23760,-28758,-32638,-19664,-15369,-20507,-26341,-12639,-10007,-12444,-35809,-22827,-18439,-23678,-37880,-24669,-20125,-25267,12.27,0.1,-174020,-38545,-28729,-24522,-18913,-5698,1436,4309,9480
g1.5,-0,-5933,-6591,-5457,-6771,-6736,-7185,-6255,-7140,-7087,-7526,-6545,-6586,-6342,-6895,-5980,-5284,-5229,-5867,-5027,-6507,-6466,-6767,-5934,-6790,-6603,-7057,-6251,5.73,0.1,-16904,-6853,-6717,-6376,-5491,926,309,926,2037
g2.1,5.00,3.33,3.00,3.67,2.33,1.67,1.33,2.00,2.00,1.33,1.00,1.67,1.67,1.00,0.67,1.33,1.33,0.67,0.33,1.00,1.67,1.00,0.67,1.33,1.00,0.33,0.00,0.67,7.14,0.1,-0.46,0.71,1.20,1.54,2.09,5.00,0.08,0.23,0.51
g2.2,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1,1,1,1,0,0,0,0,1,1,1,1,0,0,0,0,10.71,0.1,0,0,0,1,1,1,0,1,2.2
g2.3,4.38,5.00,5.00,5.00,4.38,3.75,3.75,3.75,4.38,3.75,3.75,3.75,3.75,3.13,3.13,3.13,2.50,1.88,1.88,1.88,3.13,2.50,2.50,2.50,0.63,0.00,0.00,0.00,3.57,0.1,-0.90,1.93,2.60,3.26,4.00,5.00,0.15,0.45,0.98
g2.4,3.57,3.57,3.57,3.57,4.29,3.57,3.57,3.57,5.00,4.29,4.29,4.29,5.00,4.29,4.29,4.29,2.86,2.14,2.14,2.14,2.86,2.14,2.14,2.14,0.71,0.00,0.00,0.00,3.57,0.1,-0.90,1.98,2.35,3.30,4.28,5.00,0.15,0.45,0.99
g3.1,-368,-182,-159,-186,-168,-141,-118,-144,-162,-133,-113,-136,-114,-86,-66,-91,-164,-0,-113,-137,-138,-110,-90,-114,-142,-114,-93,117,6.14,0.1,-778,-160,-137,-115,-99,-46,7,21,45
g3.2,0.00,2.78,3.33,2.22,4.44,4.44,5.00,3.89,2.22,2.22,2.78,1.67,2.22,2.22,2.78,1.67,0.56,0.56,1.11,0.00,3.89,3.89,4.44,3.33,4.44,4.44,5.00,3.89,4.77,0.1,-0.86,1.78,2.23,3.74,4.19,5.00,0.14,0.43,0.94
g3.3,5.00,5.00,5.00,5.00,4.00,4.00,4.00,4.00,3.00,3.00,3.00,3.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,5.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,2.05,0.1,-0.90,1.00,2.10,3.36,4.08,5.00,0.15,0.45,0.99
g3.4,4.00,4.00,4.00,4.00,4.00,4.00,4.00,4.00,2.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,5.00,5.00,5.00,5.00,3.00,3.00,3.00,3.00,2.05,0.1,-0.82,0.59,1.87,3.14,4.41,5.00,0.14,0.41,0.90
g4.1,0,170,191,166,183,207,228,205,188,215,233,212,233,258,275,254,270,298,306,297,211,236,254,232,207,232,251,229,7.50,0.1,-66,194,223,234,257,340,11,33,74
g4.2,0,65,74,64,71,80,88,79,73,83,90,82,90,99,106,98,5,33,50,32,81,91,98,89,80,89,97,88,5.00,0.1,-22,60,74,82,90,117,4,11,24
g4.3,-0,-418,-690,-418,-2368,-2448,-2720,-2448,-2368,-2448,-2720,-2448,-2314,-2394,-2666,-2394,-2425,-2505,-2777,-2505,-2618,-2698,-2970,-2698,-2548,-2628,-2900,-2628,2.50,0.1,-6616,-2737,-2657,-2496,-2376,338,113,338,744

